"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Msln","ENSMUSG00000063011","56047",521.650893557947,4.76259548445701,0.198675036016399,23.9717861888995,5.47744448563013e-127,8.81868562186451e-123
"Cxadr","ENSMUSG00000022865","13052",784.643329808716,4.78778088645568,0.258102923693367,18.5498901676282,8.17188003291515e-77,6.5783634264967e-73
"Serpinf1","ENSMUSG00000000753","20317",2570.49480762643,-4.00278055984366,0.251845543492315,-15.8937915054503,6.99647170017754e-57,3.75477314576195e-53
"Zdhhc2","ENSMUSG00000039470","70546",175.705751195379,4.26091091178963,0.286524795968229,14.8710023416685,5.08463342584013e-50,2.04656495390065e-46
"Strbp","ENSMUSG00000026915","20744",325.099439416279,3.2211483610077,0.221738946745489,14.5267595444337,8.2009120946357e-48,2.6406936944727e-44
"Ccbe1","ENSMUSG00000046318","320924",298.149623487287,3.9378628585393,0.275777603372733,14.2791249556876,2.95285855803549e-46,7.92350379739522e-43
"Pdpn","ENSMUSG00000028583","14726",7102.48614888859,1.31635483558153,0.100039180860701,13.158392784268,1.5229095750361e-39,3.50269202258304e-36
"Crlf1","ENSMUSG00000007888","12931",3261.05484608209,-2.83672314669269,0.216933856532197,-13.0764427094932,4.48964177411729e-39,9.03540407041105e-36
"Tbc1d9","ENSMUSG00000031709","71310",90.3193898649034,5.42268963926902,0.430819217452079,12.5869260692211,2.49189663464397e-36,4.45772620197421e-33
"Npr3","ENSMUSG00000022206","18162",353.955960012478,2.99857578935353,0.241245469229132,12.429563128937,1.80618729484688e-35,2.90796154470348e-32
"Gfra2","ENSMUSG00000022103","14586",145.270779073383,-3.5978107420685,0.290297838934581,-12.3935154160044,2.83344587565314e-35,4.14713441800141e-32
"Csrp2","ENSMUSG00000020186","13008",2314.83046300707,-1.3297152980433,0.107814008698548,-12.3334185797806,5.98524982612835e-35,8.03021018338888e-32
"Gm33302","ENSMUSG00000120741","102636155",166.405844264501,7.32207796471614,0.600116333983291,12.2010976040522,3.06662113164453e-34,3.79789232457515e-31
"Zfp518b","ENSMUSG00000046572","100515",178.661046122485,-8.14918500176368,0.678441901016373,-12.0116180759994,3.08744264525965e-33,3.5505590420486e-30
"Akr1c18","ENSMUSG00000021214","105349",1775.89083721751,2.32985897288823,0.194222701407508,11.9958117975089,3.73734809831791e-33,4.01142029219455e-30
"Nox4","ENSMUSG00000030562","50490",348.163596808259,1.72282314023388,0.144055690184772,11.9594244283173,5.79622770249285e-33,5.83245412563343e-30
"Sardh","ENSMUSG00000009614","192166",207.450224573975,-4.04206194877683,0.341029326998429,-11.8525347492928,2.08778564466104e-32,1.97725581641428e-29
"Gria1","ENSMUSG00000020524","14799",1685.05034602299,-2.79680120296516,0.237322923843252,-11.7847916150418,4.6757515258819e-32,4.1821999759277e-29
"Ccl2","ENSMUSG00000035385","20296",1577.78764509955,-3.00336795376689,0.255638263357259,-11.7485071065814,7.18774614733883e-32,6.09066910379764e-29
"Dgkk","ENSMUSG00000062393","331374",122.584082154602,-3.09344423488923,0.264891976004361,-11.6781349195655,1.6487343327969e-31,1.3272311379015e-28
"Rcan1","ENSMUSG00000022951","54720",716.098532627026,1.52397348507438,0.131069053867095,11.6272563210818,2.99572100356902e-31,2.29671943606958e-28
"Sgms2","ENSMUSG00000050931","74442",1204.71550085901,1.54267174121821,0.133889503242262,11.5219767335074,1.02238231573204e-30,7.48197967422082e-28
"Ptgs2","ENSMUSG00000032487","19225",11992.5006725298,2.07265679637355,0.181152758312292,11.4414862665269,2.59403152876925e-30,1.81582207013847e-27
"Arhgef10l","ENSMUSG00000040964","72754",108.498362845324,-3.10799355833942,0.274539758409925,-11.3207412155538,1.03592300270671e-29,6.67134413743121e-27
"Hspa4l","ENSMUSG00000025757","18415",4588.09396337318,1.51236523876685,0.133564064049663,11.3231448109014,1.0079013971198e-29,6.67134413743121e-27
"Itm2a","ENSMUSG00000031239","16431",106.982190702776,-4.63378854583604,0.411060347186056,-11.2727695034488,1.78854052895589e-29,1.10751932754576e-26
"Myo10","ENSMUSG00000022272","17909",3193.78147914418,-1.1937728217628,0.107438353814627,-11.1112352281805,1.10618628750052e-28,6.5961478625031e-26
"Prodh","ENSMUSG00000003526","19125",79.3245411953932,-4.44784630688944,0.401896301968397,-11.0671491255453,1.81069546491032e-28,1.04114989232344e-25
"Pon3","ENSMUSG00000029759","269823",219.144687213092,-2.1647051240024,0.196883972659376,-10.9948265202242,4.04690963222598e-28,2.24673258892546e-25
"Eya1","ENSMUSG00000025932","14048",256.445257565252,2.54335821128197,0.23232526619647,10.9474025486799,6.83803886779549e-28,3.66974752571691e-25
"Lmo1","ENSMUSG00000036111","109594",72.2142377389887,3.25272973431238,0.297438892089195,10.9357915888719,7.77246659627098e-28,4.03666813548267e-25
"Cd24a","ENSMUSG00000047139","12484",381.611334929212,6.57723496412921,0.616957885764271,10.660751918231,1.55336446321337e-26,7.81536495554227e-24
"Tbc1d2","ENSMUSG00000039813","381605",96.914117238895,2.83315133842178,0.267299367908413,10.5991696149185,3.0063769506489e-26,1.46674754258931e-23
"Bcl6b","ENSMUSG00000000317","12029",1412.06889444527,-1.49047704453484,0.141243835794421,-10.5525103885186,4.94576914601623e-26,2.34196715443709e-23
"Add3","ENSMUSG00000025026","27360",132.112010529893,3.22883563476692,0.307247899391255,10.5088940922433,7.86099361571116e-26,3.61605706322713e-23
"Loxl4","ENSMUSG00000025185","67573",1476.73975416268,1.24359428741052,0.118429237298805,10.5007371133603,8.57082158655247e-26,3.83306187620819e-23
"Clstn2","ENSMUSG00000032452","64085",296.520770499079,-3.50067804559236,0.335760046022344,-10.426130467469,1.88405389319398e-25,8.1981804541684e-23
"Srpx2","ENSMUSG00000031253","68792",67.0243118441108,4.26402419665196,0.410980984762732,10.3752347547507,3.21421411993152e-25,1.36181177186572e-22
