"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",1.06044139541975e-12,5.30220697709875e-11,0.910119734774459,0.500980606602267,2.26549419103741,200,"2547;4288;10460;1026;5591;6241;9787;1854;701;5425;3609;146909;10615;4605;332;3149;6941;147841;9833;9232;55143;7374;9238;5889;55635;55148;29089;29980;5395;204;3835;9319;4173;9738;4678;6790;6118;3930;9837;3838;197335;4830;57405;27338;672;7083;994;10635;1033;4001;1163;6119;3364;4683;7037;10535;23594;81624;5982;57122;4361;9221;991;8914;4292;64785;1786;7884;84296;5902;5426;10797;9918;64858;79077;3159;1062;10212;81611;4085;9212;24137;10528;55723;4174;7514;9700"
"HALLMARK_G2M_CHECKPOINT",5.06934356384338e-07,1.26733589096084e-05,0.659444398037935,0.420010893140802,1.89930218687514,199,"4288;10460;10762;3151;51203;3609;22974;1063;6541;10036;55872;4605;332;3149;57082;10024;7040;9232;4502;699;5371;26271;9156;94239;6491;4088;3835;85236;8140;4678;6790;6118;3930;990;7468;2176;3838;1841;3832;1736;7272;27338;81539;7486;994;1033;9493;4001;1163;3364;11065;9055;1870;23594;1058;595;899;3619;9221;991;51659;5426;1112;1810;3159;10721;51776;1062;10212;4085;56992;9212;24137;5119;4174;7514;9700"
"HALLMARK_XENOBIOTIC_METABOLISM",3.69144635341515e-05,0.000615241058902526,0.557332238758646,-0.357421700486243,-1.74348060106351,172,"7498;217;2052;4128;5091;223;10237;54498;3417;2110;9536;4355;4814;978;7358;225;51380;8460;4836;2099;51;50;218;1528;5166;3398;4864;10611;645;55502;488;3162;22949;316;866;65018;5447;4121;9663;131;5627;6747;3735;1573;6539"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00040224801910108,0.00489569105545395,0.49849310876659,0.356840373890242,1.61364315441189,199,"1282;1294;1490;5054;1284;1301;1293;3371;2303;23705;4638;7070;966;1292;5270;7474;2201;3486;7076;5817;5329;3624;5217;4017;115908;10486;4907;4312;6422;7040;1004;5806;4616;51330;7057;4232;960;284217;6695;22943;11167;290;6443;6641;3485;50863;22795;1289;2669;3915;25878;10272;7980"
"HALLMARK_HYPOXIA",0.000489569105545395,0.00489569105545395,0.477270815362862,-0.322614803944015,-1.59889782862022,189,"6275;2027;694;3516;230;4601;2026;8459;5230;5165;7511;10397;272;1356;5236;9215;3098;7043;54206;1942;23210;538;2584;2548;26355;2817;3073;54800;55818;10370;9957;123;8839;1466;5033;2821;10957;596;3162;56925;4627;1843;3623;3669;7360;6576;5313"
"HALLMARK_MYC_TARGETS_V2",0.000605483739816519,0.00504569783180433,0.477270815362862,0.496492790270266,1.84892304947132,57,"4869;6949;7374;9238;27346;8886;4173;11335;83743;10244;64216;26354;9064;9221;92856;79050;6652;79077;6573;10528;4174;51388;29078;6723;56342;23223;10199;54663;3177;23082"
"HALLMARK_UV_RESPONSE_UP",0.00127789303452478,0.0091278073894627,0.45505986738723,-0.326932322194708,-1.570572611178,155,"7277;291;2052;694;2907;4128;2026;6535;650;27161;51706;528;6236;885;3134;1280;2011;3659;5243;8878;1119;4323;3726;3164"
"HALLMARK_PEROXISOME",0.00281013468785341,0.0175633417990838,0.431707695803346,-0.3633337961987,-1.61883385923848,96,"291;223;3416;3417;225;5052;51;51024;26986;80270;10478;5243;6342;5830;51703;866;7533;3992;3265;10057;1384;9525;5825;5195;30;6258;706;1487;3418;6647;2224;6599;774;6833;215;9961;9249;2182;1503"
"HALLMARK_ADIPOGENESIS",0.00637420322459693,0.0309405940594059,0.354819512103747,-0.291785575655633,-1.44653247158821,191,"217;5168;718;2167;33;35;284;47;4199;3417;29103;5236;9131;112;376497;4836;10140;6776;51;50;79071;8491;8436;123;58472;6342;6888;10113;5495;2109;4191;26353;483;23187;5447;23788;10989;10162;1351;7905;6576;7423;1537;6390;1384;9908;4958;3419;5195;1147;1738;2879;57678;5860;26994;6647;25813;27069;54996;1737;25979;4189;1376;3991;10313;1468"
"HALLMARK_BILE_ACID_METABOLISM",0.00680693069306931,0.0309405940594059,0.310776919977249,-0.349376828862404,-1.55664858626728,96,"4734;223;3417;20;8630;225;196743;21;2730;80270;6342;4864;51703;866;3992;5947;5825;23461;6258;10350;64137;9420;3418;5191;5213;6647;64241;3991;215;189;8435;366;50640;9971;9415"
"HALLMARK_FATTY_ACID_METABOLISM",0.00576662143826323,0.0309405940594059,0.354819512103747,-0.319172582039959,-1.51120840196525,141,"2027;2052;4128;33;2026;5160;35;223;3157;4199;3417;2110;3956;7358;50814;5910;6281;51;50;218;8639"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0136034304302824,0.0558265264147617,0.150129441088022,0.365877970160555,1.48745325703339,95,"10410;103;3959;567;5610;85363;10561;4061;54809;5359;6773;10544;9830;3431;54625;1267;85441;3566;87178;7706;7453;55072;7726;9636;219285;6890;94240;55601"
"HALLMARK_MTORC1_SIGNALING",0.014514896867838,0.0558265264147617,0.235141995561108,-0.271026154950997,-1.34825871114016,197,"7277;3638;5230;6713;3157;2181;928;47;4199;3417;5236;5052;900;4836;5701;10987;79071;7108;9695;23753;10061;7184;8878;4048;3156;5033;3336;2821;23760;488;5718;441024;3475;10096;3145;26227;10989;3992;516;5685;5719;5684;3308;27071;2107;10213;2717;29110;8615;31;2965;27230;5861;1649;2729;4802;7436;2058;5704;8553;5860;7323;3313;6745;6503"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0173047473200613,0.0618026690002188,0.13525091239264,0.386173094201064,1.4993805812494,71,"9180;3454;3460;7040;3676;7132;7297;4615;5770;27242;51330;960;6773;3588;3459;3566;56034;355;3725;5781;3597;55540;6772"
"HALLMARK_APOPTOSIS",0.0305793238883434,0.0918635170603675,0.0967541689411413,0.30892794144065,1.3510703712302,154,"10410;894;1026;1676;3875;7076;3315;7818;837;1806;5327;835;89941;4616;8567;840;51330;1387;8682;960;1191;51176;3459;4170;672;2012;994;6041;7832;2149;2232;7077;9890;637;598;595;4744;6304;6574;6890;2936;355;3725;8837"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0357554786620531,0.0918635170603675,0.129015392724128,-0.326153412875832,-1.38332241450485,73,"230;1499;5165;6713;3157;928;55902;5833;20;54206;50814;4598;22809;6721;7108;6311;1119;3156;10957;6811;308;3958;39;132864"
"HALLMARK_DNA_REPAIR",0.0312456016889514,0.0918635170603675,0.0958569623789466,0.311152855860122,1.35267477893855,147,"8237;9883;11130;1854;4059;4833;1643;2987;7508;1687;51497;4350;6118;2237;2068;10302;9328;4830;2067;23204;6878;2073;79720;1716;3059;6119;5984;353;5439;51292;5982;10189;50808;124583;5429;7298;25920;51251;22916;6809"
"HALLMARK_HEME_METABOLISM",0.0344954128440367,0.0918635170603675,0.148500141871431,-0.262985411057555,-1.28893252148431,177,"4354;718;51092;7001;4601;5091;6535;8850;23112;54498;4891;2235;23530;2035;5526;535;80853;2730;9911;7716;25897;51274;56674;645;4779;10422;9958;23002;57610;3145;27429;9663;4005"
"HALLMARK_P53_PATHWAY",0.036745406824147,0.0918635170603675,0.145392780236481,-0.255571522868008,-1.26700062472634,191,"6275;92815;2052;694;3625;127544;8673;650;10397;8626;22824;4814;10458;10628;2517;900;6236;25898;10140;6281;4013;9314;6004;5900;26355;5791;3094;8841;3162;26207;64787;9618;581;55294;3265;6303;10057"
"HALLMARK_PROTEIN_SECRETION",0.0346534653465347,0.0918635170603675,0.135862926377654,-0.305318565777826,-1.36034697929662,96,"9367;1213;9276;23095;10565;51606;538;5862;22872;27236;1176;6643;23673;7251;8546;1315;10067;164;10564;1211;2717;102;9525;372;51552;8615;476;259230;23033;23041;2778;6197;8775;6647;8417"
"HALLMARK_MYC_TARGETS_V1",0.0403149178770191,0.0959878997071884,0.082532787767263,0.288888926636227,1.3063902604697,200,"5478;2547;6187;6128;328;4869;2739;6146;1854;5425;26156;6637;3178;51020;9045;8886;4173;11260;6418;3608;10921;52;3183;3838;11335;6150;4830;54107;7416;1933;5984;26354;6204;7284;9221;7298;10155;991;6627;1207;22916;6141;11137;10574;7458;5902;1964;65005;10935;10856"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0475403059115337,0.10334849111203,0.0763778694074653,0.292310602424889,1.29961229213949,173,"5054;1026;7076;5817;5329;3624;9180;3454;6541;196;3460;5610;133;3976;131566;3269;4061;1604;3696;1906;970;6542;3575;3566;3949;958"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0457491422035837,0.10334849111203,0.131183404131763,-0.249430215316852,-1.24202119027785,198,"291;10312;10632;5160;4720;3417;2110;509;518;528;9131;51606;533;23530;498;38;8402;50;1528;4700;5166;537;9167;2109;23203;2821;4191;5447;27429;10476;10989;1351;516;581;22;788;9296;1537;3028;26517;10651;9550;6390;2806;3419;9868;30;1738;2879;8604;51660;3418;5435;10884;506"
"HALLMARK_ALLOGRAFT_REJECTION",0.0594253679046952,0.123802849801448,0.0686043435198679,0.293494961791542,1.28502593919001,156,"894;4869;3133;7070;7076;11222;1956;3624;9734;6133;567;3460;586;7040;3976;2000;6891;6189;4830;3459;3566;9466;6170;958;672;7453;3059;2149"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0632790028763183,0.126558005752637,0.065588721362786,0.283126262200748,1.26846990311369,185,"10410;1026;103;7378;3959;5214;567;837;5610;4502;5371;10561;57674;26053;4615;5770;3106;4061;5359;840;6773;9830;3431;80830;54625;85441;3566;87178;10124;958;3075;7706;7453;10392;10068;29126;55072;7726;9636;4600;219285;6890;94240;355;55601;8082;84888;8737;6772;7903;3455;4940;10797"
"HALLMARK_NOTCH_SIGNALING",0.0731769505354411,0.140724904875848,0.0840040435343081,-0.394292772247944,-1.38878831258903,31,"55851;23220;8324;9978;2648;6934;7855;8454;408;8321"
"HALLMARK_KRAS_SIGNALING_DN",0.0859926100100773,0.159245574092736,0.0890961354495908,-0.258634554567977,-1.21977748738126,136,"8786;22849;55220;57016;55277;5077;65989;1280;1838;51226;786;4524;51168;2668;6531;4929;3866;6414;3860;55610;6663;6261;8085;778;6446;64137;8303;10913;7021;54847;10777;6927;1585;1014;6559;6336;9127;5133;3750;3699;57089;79696;495;1630;26548;5317;676"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0957461359595131,0.170975242784845,0.0526059181483477,0.272870689428683,1.22464081566566,188,"5054;3371;2150;1026;23645;5329;3624;3460;7262;1846;9945;3976;3280;5209;6515;1827;22822;5806;10365;4616;79155;4088;8061;1906;960;182;3575;24145;80176;4170;3949;9592;3914;7832;9334;2669;5055;595;2683;8744;6890;3725;8837;24147;10318;9242;7071;8660;2152"
