"gene_symbol","ensembl_gene_id","entrezgene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acta2","ENSMUSG00000035783","11475",2897.15228327536,3.7735910816934,0.0967418119408715,39.0068265829032,0,0
"Ifi44","ENSMUSG00000028037","99899",3097.3936944808,3.17860006910031,0.0725034460562314,43.8406757471236,0,0
"Lgals3bp","ENSMUSG00000033880","19039",3718.53341852319,3.0353847879921,0.0730796978780961,41.5352673331437,0,0
"Oasl2","ENSMUSG00000029561","23962",3485.5947443886,2.6593516711042,0.0696362002983624,38.18921279033,4.25301589253062e-319,1.59796439375074e-315
"Sparc","ENSMUSG00000018593","20692",66132.994453486,1.84131555370121,0.0521356545667269,35.3177795311761,3.1329558495612e-273,9.41703869261106e-270
"Tef","ENSMUSG00000022389","21685",5330.74200785226,-2.04890521130597,0.0622581153785309,-32.9098495649695,1.58896571496923e-237,3.98009428837876e-234
"Gadd45g","ENSMUSG00000021453","23882",2110.46527457525,-3.04364122668903,0.0970766218585331,-31.352978383657,8.86080832979104e-216,1.90241554840614e-212
"Pck2","ENSMUSG00000040618","74551",4315.61124536122,2.39332567440081,0.076876675020089,31.132013367844,8.8856667443774e-213,1.6692835687656e-209
"Gbp3","ENSMUSG00000028268","55932",1341.11371654773,2.83984594522255,0.0926386442431578,30.6550896596514,2.26056947888399e-206,3.77489985534972e-203
"Igfbp7","ENSMUSG00000036256","29817",1066.13924965804,3.26863417491427,0.10706862963983,30.5284020717335,1.09436414838456e-204,1.64471987860715e-201
"Cth","ENSMUSG00000028179","107869",8826.93583735816,1.68882913211301,0.0562717611413051,30.0120184238086,6.83958496690698e-198,9.34473840614954e-195
"Irf7","ENSMUSG00000025498","54123",1117.20642349579,2.87278778637876,0.0967579914726626,29.690444609843,1.02012438374036e-193,1.27762078026949e-190
"Rnf213","ENSMUSG00000070327","672511",33936.2504206497,1.69849337968033,0.061088835718025,27.8036626450088,3.91724666149297e-170,4.52863846735214e-167
"Lgals9","ENSMUSG00000001123","16859",925.843829783382,3.004344328732,0.109809847025344,27.3595165653822,8.32097742379434e-165,8.93256926444323e-162
"Slc7a11","ENSMUSG00000027737","26570",4128.16804616206,1.88682648121787,0.0699280797475558,26.9823865896135,2.37899311534877e-160,2.23461797066105e-157
"Usp18","ENSMUSG00000030107","24110",1504.13497516757,2.64000501369318,0.097838980738649,26.9831614532581,2.32970285206867e-160,2.23461797066105e-157
"Ifitm3","ENSMUSG00000025492","66141",27354.2933216428,1.75310154809924,0.0661529461732093,26.5007327641775,9.50566822746705e-155,8.40356987003542e-152
"Cp","ENSMUSG00000003617","12870",1283.18164379532,3.11127245133938,0.11883119779872,26.1822863774322,4.22898132922979e-151,3.5309644664997e-148
"Plcxd2","ENSMUSG00000087141","433022",3334.04622220076,-2.27305277613573,0.0886971314746963,-25.6271283901012,7.60665848363826e-145,6.01686686055786e-142
"Atp6ap2","ENSMUSG00000031007","70495",12901.272558711,-1.34500896353565,0.0528591782108524,-25.4451357183511,7.99125563949104e-143,6.00502905029554e-140
"Cdh11","ENSMUSG00000031673","12552",4399.82759025376,2.03840267328625,0.0801698116181363,25.4260629050189,1.29905722574767e-142,9.29691954560083e-140
"Fbn2","ENSMUSG00000024598","14119",12038.6375463037,1.46838090686122,0.0581875327316531,25.2353182533627,1.64159655770844e-140,1.12143430299092e-137
"Gadd45b","ENSMUSG00000015312","17873",6213.77642912195,-2.06703205616454,0.0831586764504201,-24.856480939748,2.20059633967912e-136,1.43794619082772e-133
"Pmaip1","ENSMUSG00000024521","58801",4326.49583476419,-1.73452175670799,0.0700397760713319,-24.7648101407616,2.1473572654954e-135,1.3446930142971e-132
"Pfkl","ENSMUSG00000020277","18641",3607.94054875754,1.90626723869911,0.0774727002291728,24.6056640992267,1.09861636676756e-133,6.60444215045984e-131
"Rragd","ENSMUSG00000028278","52187",1324.06788722077,-2.06898823710353,0.0841440216612838,-24.588654027402,1.67052886323775e-133,9.65629934061544e-131
